,label,review
4894,1,环境确实不错，很安静，我很喜欢。特别是木屋，户外阳台留有插线板，坐在阳台上上网很惬意的。这是我第二次在这里居住了。就是无线网络信号太弱，经常短线。没办法最后只要能用GPRS上网。非周末时间居住，感觉整个风景区被我一家人包了似的。
4321,1,"非常满意,房间和交通都不错,下次还要住该酒店了"
899,1,第一次入住这里，觉得整体上像是住在花园里面。不过感觉苏州的整体风格也是如此。免费升级到了一个稍大的房间。很干净。260包括一个早餐的确是不贵。就是早餐的种类少了点，不过这个价位也就不挑什么了。觉得美中不足的就是宾馆居然没有免费的矿泉水送。。。补充点评2008年8月3日：在这里补充说明一下，260包括一份早餐是房费232+早餐28。提前5天不能取消订单不能修改订单才有232这个价位。现在好像Ctrip没有了。。。宾馆反馈2008年8月6日：感谢两位尊贵的客户给予我们的点评，我们会继续努力并按照您提出的意见积极改进。在此，提醒大家，我店参加携程提前5天预订，打9折的活动，截止日是2008年8月31日。我们真诚的欢迎您们的下次光临!
243,1,"还不错的酒店,地点很好,就在火车站出来.一楼有点吵,有旅行团也有来吃饭的客人,不过不影响住宿"
4502,1,我住的是高级商务间，房间很宽敞，服务也不错。但是，1，没有浴盆；2，早餐太次；3，商务间没有宽带！4，换了几个电视遥控器，还是站在电视前才能遥控。
421,1,我北京朋友掉了一根照相机线，但是人已经到金华，打电话到宾馆，服务人员非常敬业和负责，找到后快递到北京，在这里说声谢谢！
3443,1,酒店在东营当地是最高档的，服务人员训练有素，服务意识很好。酒店很新，房间也很干净，零点厅的饭菜不错，就是有点贵。早餐很丰盛，据说自助餐也不错，下次再到东营，一定去试试。推荐入住！
3274,1,在邯郸可能是最好的宾馆了，紧靠市政府，交通便利。但是政府或各组织的会议太多太多，经常都订不到房间。而且旁边在建新楼，外部环境不是很好。蚊子非常厉害，灭蚊片一片不起作用。强烈建议携程网在邯郸再签一个宾馆，国际饭店，也还不错，比另外一个邯郸大酒店好一些。但是要把她的房价压一点，就因为有宽带，在国际饭店就成了商务间，350元，控制在280元左右。
6294,0,"房&#38388;不及168,居然用复合地板,走廊是地&#30742;,空&#35843;是分体的,房&#38388;窗外即&#39532;路,人喊,狗叫,汽&#36710;高音喇叭,&#26080;法睡&#35273;.&#25658;程向我推荐是4星&#32423;酒店,有欺&#39575;之嫌,使我&#23545;&#25658;程的信任大打折扣."
6729,0,非常差的酒店，住的是高级房，每天都有n多的小强在桌子上、地上走过，向大堂副理反映，被告知是因为天热，所以会有。汗!前台服务也差，所住楼层上一层装修，到晚9点仍然干活，先打电话到客服，客服说不管，打到前台，前台说她也管不了。宽带上网，发生IP冲突，不停的断网，电话打到前台，她仍然说管不了，说就这样。总之，差到极点的一家三星级酒店。怎么没人考核他们!!!
7242,0,劝大家不要入住这个酒店，号称四星的标准，可是房间内的物品非常抵挡，尤其是毛巾，还不如如家、锦江之星这种商务酒店的好，住进去之后真是大呼上当，除了海景标间的风景尚可，其他真的没法让人满意，我4月底入住，房间非常冷，打电话问酒店，给我的答复是现在没有暖风，让我多盖床被子，你说可笑不可笑？
6018,0,前几次入住此酒店的舒适感觉使我认为再去香港住这是必然的选择，现在看来现实真是太残酷了！！！-中午到达酒店办理入住手续时开始出问题：找不到入住的人名；好不容易找着了人名房型又不对，酒店前台服务员板着脸说是携程跟他们定房间时没有说明，不能调换房间，经过来来回回两个多小时的三方交涉，酒店给了我们一张免费的加床并说第二天给调换房间，后来就没人搭理我们了，结果是我们住了四天的加床，直到第五天时我们换了一家公司定房，酒店才给调了我们需要的房间，终于结束了这几天的加床之旅。酒店前台服务员态度生硬，房间的超迷你和以前住在这时有着鲜明的反差，这使我感受到了美好的东西也不是一成不变的，多一些其他的选择是应变的最好办法。
5683,0,房间味道好重，本来都是去住华天世纪的，他们生意太好，没有房间了，丽晶的房间感觉象好久没人住了，霉味好大，住了两天，人都快晕了，如果再去柳州肯定不住这家了。宾馆反馈2008年8月1日：对您提出的意见我们已进行了改进。酒店设有无烟楼层，也推出了奢华新装的商务行政客房，一定不会让您失望！
6968,0,"地理位置比较方便,但酒店服务态度不好,环境普通"
6949,0,"入住了单人间，房间不是非常小，而是只能用“袖珍”来形容,连窗户也没有，房间面积仅仅能够放下一张单人床与一张放着电视机的写字台。感觉好像是个监狱单人房改造的，不过即使是监狱单人房的话或许也应该会有一个小窗吧?!建议大家绝对不要住单人间!"
6643,0,房间很冷且不隔音，服务一般，卫生间很小，房间整体舒适性在我住过的如家是最差的。
